Date,Period 2,Group 1,Period 3/6,Group 2,Period 8,Group 3,Period 9,Group 4
2022-11-28,Period 2,A,Period 6,B,Period 8,C,Period 9,D
2022-11-29,Period 2,E,Period 3,F,Period 8,G,Period 9,H
2022-11-30,Period 2,I,Period 6,J,Period 8,K,Period 9,L
2022-12-01,Period 2,M,Period 3,N,Period 8,O,Period 9,P
2022-12-02,Period 2,Q,Period 6,R,Period 8,S,Period 9,T
2022-12-05,Period 2,P,Period 3,M,Period 8,N,Period 9,O
2022-12-06,Period 2,D,Period 6,A,Period 8,B,Period 9,C
2022-12-07,Period 2,T,Period 3,Q,Period 8,R,Period 9,S
2022-12-08,Period 2,H,Period 6,E,Period 8,F,Period 9,G
2022-12-09,Period 2,L,Period 3,I,Period 8,J,Period 9,K
2022-12-12,Period 2,G,Period 6,H,Period 8,E,Period 9,F
2022-12-13,Period 2,O,Period 3,P,Period 8,M,Period 9,N
2022-12-14,Period 2,S,Period 6,T,Period 8,Q,Period 9,R
2022-12-15,Period 2,C,Period 3,D,Period 8,A,Period 9,B
2022-12-16,Period 2,K,Period 6,L,Period 8,I,Period 9,J
2022-12-19,Period 2,F,Period 3,G,Period 8,H,Period 9,E
2022-12-20,Period 2,R,Period 6,S,Period 8,T,Period 9,Q
2022-12-21,Period 2,B,Period 3,C,Period 8,D,Period 9,A
2022-12-22,Period 2,J,Period 6,K,Period 8,L,Period 9,I
2022-12-23,Period 2,N,Period 3,O,Period 8,P,Period 9,M
2022-12-26,Period 2,M,Period 6,N,Period 8,O,Period 9,P
2022-12-27,Period 2,I,Period 3,J,Period 8,K,Period 9,L
2022-12-28,Period 2,E,Period 6,F,Period 8,G,Period 9,H
2022-12-29,Period 2,Q,Period 3,R,Period 8,S,Period 9,T
2022-12-30,Period 2,A,Period 6,B,Period 8,C,Period 9,D
2023-01-02,Period 2,T,Period 3,Q,Period 8,R,Period 9,S
2023-01-03,Period 2,P,Period 6,M,Period 8,N,Period 9,O
2023-01-04,Period 2,H,Period 3,E,Period 8,F,Period 9,G
2023-01-05,Period 2,L,Period 6,I,Period 8,J,Period 9,K
2023-01-06,Period 2,D,Period 3,A,Period 8,B,Period 9,C
2023-01-09,Period 2,O,Period 6,P,Period 8,M,Period 9,N
2023-01-10,Period 2,C,Period 3,D,Period 8,A,Period 9,B
2023-01-11,Period 2,K,Period 6,L,Period 8,I,Period 9,J
2023-01-12,Period 2,S,Period 3,T,Period 8,Q,Period 9,R
2023-01-13,Period 2,G,Period 6,H,Period 8,E,Period 9,F
2023-01-16,Period 2,N,Period 3,O,Period 8,P,Period 9,M
2023-01-17,Period 2,J,Period 6,K,Period 8,L,Period 9,I
2023-01-18,Period 2,R,Period 3,S,Period 8,T,Period 9,Q
2023-01-19,Period 2,B,Period 6,C,Period 8,D,Period 9,A
2023-01-20,Period 2,F,Period 3,G,Period 8,H,Period 9,E
